Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
BAJAJFINSV,5500.0,5906.15,5430.15,5425.7,978396.0,5783.6
HCLTECH,795.25,836.0,792.6,788.3,19813372.0,830.1
CIPLA,752.0,777.0,740.4,733.45,13365213.0,771.0
BHARTIARTL,425.0,444.95,422.15,419.3,33602428.0,440.0
INDUSINDBK,499.9,521.3,491.2,490.25,19311514.0,512.0
Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
BAJAJFINSV,5500.0,5906.15,5430.15,5425.7,978396.0,5783.6
HCLTECH,795.25,836.0,792.6,788.3,19813372.0,830.1
CIPLA,752.0,777.0,740.4,733.45,13365213.0,771.0
BHARTIARTL,425.0,444.95,422.15,419.3,33602428.0,440.0
INDUSINDBK,499.9,521.3,491.2,490.25,19311514.0,512.0
Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
BAJAJFINSV,5500.0,5906.15,5430.15,5425.7,978396.0,5783.6
HCLTECH,795.25,836.0,792.6,788.3,19813372.0,830.1
CIPLA,752.0,777.0,740.4,733.45,13365213.0,771.0
BHARTIARTL,425.0,444.95,422.15,419.3,33602428.0,440.0
INDUSINDBK,499.9,521.3,491.2,490.25,19311514.0,512.0
Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
BAJAJFINSV,5500.0,5906.15,5430.15,5425.7,978396.0,5783.6
HCLTECH,795.25,836.0,792.6,788.3,19813372.0,830.1
CIPLA,752.0,777.0,740.4,733.45,13365213.0,771.0
BHARTIARTL,425.0,444.95,422.15,419.3,33602428.0,440.0
INDUSINDBK,499.9,521.3,491.2,490.25,19311514.0,512.0
